name,base-mathsat-cmd,base-mathsat-time,base-z3-cmd,base-z3-time,h1-mathsat-cmd,h1-mathsat-time,h1-z3-cmd,h1-z3-time,h2-mathsat-cmd,h2-mathsat-time,h2-z3-cmd,h2-z3-time,h12-mathsat-cmd,h12-mathsat-time,h12-z3-cmd,h12-z3-time,direct-z3--cmd,direct-z3--time,cvc5--cmd,cvc5--time
2Nested_false-termination.c.smt2,,,,,,,,,,,,,,,,,,,,
2Nested_true-termination.c.smt2,,,./PolyQEnt experiments/benchmarks/Termination/linear/2Nested_true-termination.c.smt2 experiments/configs-base/z3/benchmarks/Termination/linear/2Nested_true-termination.c.smt2.json,268.0,,,./PolyQEnt experiments/benchmarks/Termination/linear/2Nested_true-termination.c.smt2 experiments/configs-h1/z3/benchmarks/Termination/linear/2Nested_true-termination.c.smt2.json,260.0,,,./PolyQEnt experiments/benchmarks/Termination/linear/2Nested_true-termination.c.smt2 experiments/configs-h2/z3/benchmarks/Termination/linear/2Nested_true-termination.c.smt2.json,420.0,,,./PolyQEnt experiments/benchmarks/Termination/linear/2Nested_true-termination.c.smt2 experiments/configs-h12/z3/benchmarks/Termination/linear/2Nested_true-termination.c.smt2.json,339.0,./solver/z3 -smt2 experiments/benchmarks/Termination/linear/2Nested_true-termination.c.smt2,127.0,,
4NestedWith3Variables_true-termination.c.smt2,,,,,,,,,,,,,,,,,,,,
AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination.c.smt2,,,./PolyQEnt experiments/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination.c.smt2 experiments/configs-base/z3/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination.c.smt2.json,537.0,./PolyQEnt experiments/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination.c.smt2 experiments/configs-h1/mathsat/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination.c.smt2.json,391.0,./PolyQEnt experiments/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination.c.smt2 experiments/configs-h1/z3/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-Fig1_true-termination.c.smt2.json,34553.0,,,,,,,,,,,,
AliasDarteFeautrierGonnord-SAS2010-Fig2a_true-termination.c.smt2,,,./PolyQEnt experiments/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-Fig2a_true-termination.c.smt2 experiments/configs-base/z3/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-Fig2a_true-termination.c.smt2.json,600.0,./PolyQEnt experiments/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-Fig2a_true-termination.c.smt2 experiments/configs-h1/mathsat/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-Fig2a_true-termination.c.smt2.json,272.0,./PolyQEnt experiments/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-Fig2a_true-termination.c.smt2 experiments/configs-h1/z3/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-Fig2a_true-termination.c.smt2.json,272.0,,,,,,,./PolyQEnt experiments/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-Fig2a_true-termination.c.smt2 experiments/configs-h12/z3/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-Fig2a_true-termination.c.smt2.json,328.0,,,,
AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c.smt2,,,./PolyQEnt experiments/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c.smt2 experiments/configs-base/z3/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c.smt2.json,464.0,./PolyQEnt experiments/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c.smt2 experiments/configs-h1/mathsat/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c.smt2.json,323.0,./PolyQEnt experiments/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c.smt2 experiments/configs-h1/z3/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-Fig2b_true-termination.c.smt2.json,314.0,,,,,,,,,,,,
AliasDarteFeautrierGonnord-SAS2010-complex_true-termination.c.smt2,,,,,,,,,,,,,,,,,,,,
AliasDarteFeautrierGonnord-SAS2010-counterex1a_true-termination.c.smt2,,,,,,,,,,,,,,,,,,,,
AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c.smt2,,,./PolyQEnt experiments/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c.smt2 experiments/configs-base/z3/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c.smt2.json,498.0,./PolyQEnt experiments/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c.smt2 experiments/configs-h1/mathsat/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c.smt2.json,435.0,./PolyQEnt experiments/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c.smt2 experiments/configs-h1/z3/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c.smt2.json,24466.0,,,,,./PolyQEnt experiments/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c.smt2 experiments/configs-h12/mathsat/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-counterex1b_true-termination.c.smt2.json,81561.0,,,,,,
AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination.c.smt2,,,./PolyQEnt experiments/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination.c.smt2 experiments/configs-base/z3/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination.c.smt2.json,333.0,./PolyQEnt experiments/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination.c.smt2 experiments/configs-h1/mathsat/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination.c.smt2.json,270.0,./PolyQEnt experiments/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination.c.smt2 experiments/configs-h1/z3/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination.c.smt2.json,248.0,,,,,./PolyQEnt experiments/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination.c.smt2 experiments/configs-h12/mathsat/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination.c.smt2.json,366.0,./PolyQEnt experiments/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination.c.smt2 experiments/configs-h12/z3/benchmarks/Termination/linear/AliasDarteFeautrierGonnord-SAS2010-cousot9_true-termination.c.smt2.json,11208.0,,,,
