name,base-almost-sure-termination-mathsat_cmd,base-almost-sure-termination-mathsat-time,base-almost-sure-termination-z3_cmd,base-almost-sure-termination-z3-time,h1-almost-sure-termination-mathsat_cmd,h1-almost-sure-termination-mathsat-time,h1-almost-sure-termination-z3_cmd,h1-almost-sure-termination-z3-time,h2-almost-sure-termination-mathsat_cmd,h2-almost-sure-termination-mathsat-time,h2-almost-sure-termination-z3_cmd,h2-almost-sure-termination-z3-time,h12-almost-sure-termination-mathsat_cmd,h12-almost-sure-termination-mathsat-time,h12-almost-sure-termination-z3_cmd,h12-almost-sure-termination-z3-time,direct-z3-almost-sure-termination-_cmd,direct-z3-almost-sure-termination--time,cvc5-almost-sure-termination-_cmd,cvc5-almost-sure-termination--time
2d-robot.smt2,,,,,,,,,,,,,,,,,,,,
bitcoin-mining-pool.smt2,,,,,,,,,,,,,,,,,,,,
bitcoin-mining.smt2,./PolyQEnt experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/bitcoin-mining.smt2 experiments/configs-base/mathsat/benchmarks/almost-sure-termination/cost-analysis-table-3/bitcoin-mining.smt2.json,585.0,./PolyQEnt experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/bitcoin-mining.smt2 experiments/configs-base/z3/benchmarks/almost-sure-termination/cost-analysis-table-3/bitcoin-mining.smt2.json,940.0,./PolyQEnt experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/bitcoin-mining.smt2 experiments/configs-h1/mathsat/benchmarks/almost-sure-termination/cost-analysis-table-3/bitcoin-mining.smt2.json,565.0,./PolyQEnt experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/bitcoin-mining.smt2 experiments/configs-h1/z3/benchmarks/almost-sure-termination/cost-analysis-table-3/bitcoin-mining.smt2.json,630.0,./PolyQEnt experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/bitcoin-mining.smt2 experiments/configs-h2/mathsat/benchmarks/almost-sure-termination/cost-analysis-table-3/bitcoin-mining.smt2.json,799.0,./PolyQEnt experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/bitcoin-mining.smt2 experiments/configs-h2/z3/benchmarks/almost-sure-termination/cost-analysis-table-3/bitcoin-mining.smt2.json,2269.0,./PolyQEnt experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/bitcoin-mining.smt2 experiments/configs-h12/mathsat/benchmarks/almost-sure-termination/cost-analysis-table-3/bitcoin-mining.smt2.json,814.0,./PolyQEnt experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/bitcoin-mining.smt2 experiments/configs-h12/z3/benchmarks/almost-sure-termination/cost-analysis-table-3/bitcoin-mining.smt2.json,2478.0,,,,
coupon1.smt2,./PolyQEnt experiments/benchmarks/almost-sure-termination/higher-moment-tail-prob/coupon1.smt2 experiments/configs-base/mathsat/benchmarks/almost-sure-termination/higher-moment-tail-prob/coupon1.smt2.json,746.0,./PolyQEnt experiments/benchmarks/almost-sure-termination/higher-moment-tail-prob/coupon1.smt2 experiments/configs-base/z3/benchmarks/almost-sure-termination/higher-moment-tail-prob/coupon1.smt2.json,737.0,./PolyQEnt experiments/benchmarks/almost-sure-termination/higher-moment-tail-prob/coupon1.smt2 experiments/configs-h1/mathsat/benchmarks/almost-sure-termination/higher-moment-tail-prob/coupon1.smt2.json,730.0,./PolyQEnt experiments/benchmarks/almost-sure-termination/higher-moment-tail-prob/coupon1.smt2 experiments/configs-h1/z3/benchmarks/almost-sure-termination/higher-moment-tail-prob/coupon1.smt2.json,749.0,./PolyQEnt experiments/benchmarks/almost-sure-termination/higher-moment-tail-prob/coupon1.smt2 experiments/configs-h2/mathsat/benchmarks/almost-sure-termination/higher-moment-tail-prob/coupon1.smt2.json,932.0,./PolyQEnt experiments/benchmarks/almost-sure-termination/higher-moment-tail-prob/coupon1.smt2 experiments/configs-h2/z3/benchmarks/almost-sure-termination/higher-moment-tail-prob/coupon1.smt2.json,983.0,./PolyQEnt experiments/benchmarks/almost-sure-termination/higher-moment-tail-prob/coupon1.smt2 experiments/configs-h12/mathsat/benchmarks/almost-sure-termination/higher-moment-tail-prob/coupon1.smt2.json,962.0,./PolyQEnt experiments/benchmarks/almost-sure-termination/higher-moment-tail-prob/coupon1.smt2 experiments/configs-h12/z3/benchmarks/almost-sure-termination/higher-moment-tail-prob/coupon1.smt2.json,1124.0,,,,
coupon4.smt2,./PolyQEnt experiments/benchmarks/almost-sure-termination/higher-moment-tail-prob/coupon4.smt2 experiments/configs-base/mathsat/benchmarks/almost-sure-termination/higher-moment-tail-prob/coupon4.smt2.json,12019.0,./PolyQEnt experiments/benchmarks/almost-sure-termination/higher-moment-tail-prob/coupon4.smt2 experiments/configs-base/z3/benchmarks/almost-sure-termination/higher-moment-tail-prob/coupon4.smt2.json,24098.0,,,./PolyQEnt experiments/benchmarks/almost-sure-termination/higher-moment-tail-prob/coupon4.smt2 experiments/configs-h1/z3/benchmarks/almost-sure-termination/higher-moment-tail-prob/coupon4.smt2.json,12474.0,./PolyQEnt experiments/benchmarks/almost-sure-termination/higher-moment-tail-prob/coupon4.smt2 experiments/configs-h2/mathsat/benchmarks/almost-sure-termination/higher-moment-tail-prob/coupon4.smt2.json,14613.0,,,./PolyQEnt experiments/benchmarks/almost-sure-termination/higher-moment-tail-prob/coupon4.smt2 experiments/configs-h12/mathsat/benchmarks/almost-sure-termination/higher-moment-tail-prob/coupon4.smt2.json,14833.0,,,,,,
goods-discount.smt2,./PolyQEnt experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/goods-discount.smt2 experiments/configs-base/mathsat/benchmarks/almost-sure-termination/cost-analysis-table-3/goods-discount.smt2.json,1898.0,./PolyQEnt experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/goods-discount.smt2 experiments/configs-base/z3/benchmarks/almost-sure-termination/cost-analysis-table-3/goods-discount.smt2.json,2656.0,./PolyQEnt experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/goods-discount.smt2 experiments/configs-h1/mathsat/benchmarks/almost-sure-termination/cost-analysis-table-3/goods-discount.smt2.json,2609.0,./PolyQEnt experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/goods-discount.smt2 experiments/configs-h1/z3/benchmarks/almost-sure-termination/cost-analysis-table-3/goods-discount.smt2.json,2028.0,./PolyQEnt experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/goods-discount.smt2 experiments/configs-h2/mathsat/benchmarks/almost-sure-termination/cost-analysis-table-3/goods-discount.smt2.json,2263.0,./PolyQEnt experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/goods-discount.smt2 experiments/configs-h2/z3/benchmarks/almost-sure-termination/cost-analysis-table-3/goods-discount.smt2.json,4793.0,./PolyQEnt experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/goods-discount.smt2 experiments/configs-h12/mathsat/benchmarks/almost-sure-termination/cost-analysis-table-3/goods-discount.smt2.json,2946.0,./PolyQEnt experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/goods-discount.smt2 experiments/configs-h12/z3/benchmarks/almost-sure-termination/cost-analysis-table-3/goods-discount.smt2.json,3315.0,,,,
nested-loop.smt2,,,,,,,,,,,,,,,,,,,,
pollutant-disposal.smt2,./PolyQEnt experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/pollutant-disposal.smt2 experiments/configs-base/mathsat/benchmarks/almost-sure-termination/cost-analysis-table-3/pollutant-disposal.smt2.json,100207.0,,,./PolyQEnt experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/pollutant-disposal.smt2 experiments/configs-h1/mathsat/benchmarks/almost-sure-termination/cost-analysis-table-3/pollutant-disposal.smt2.json,88236.0,,,./PolyQEnt experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/pollutant-disposal.smt2 experiments/configs-h2/mathsat/benchmarks/almost-sure-termination/cost-analysis-table-3/pollutant-disposal.smt2.json,90012.0,,,./PolyQEnt experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/pollutant-disposal.smt2 experiments/configs-h12/mathsat/benchmarks/almost-sure-termination/cost-analysis-table-3/pollutant-disposal.smt2.json,90289.0,,,,,,
queuing.smt2,./PolyQEnt experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/queuing.smt2 experiments/configs-base/mathsat/benchmarks/almost-sure-termination/cost-analysis-table-3/queuing.smt2.json,4423.0,./PolyQEnt experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/queuing.smt2 experiments/configs-base/z3/benchmarks/almost-sure-termination/cost-analysis-table-3/queuing.smt2.json,32067.0,./PolyQEnt experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/queuing.smt2 experiments/configs-h1/mathsat/benchmarks/almost-sure-termination/cost-analysis-table-3/queuing.smt2.json,4362.0,./PolyQEnt experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/queuing.smt2 experiments/configs-h1/z3/benchmarks/almost-sure-termination/cost-analysis-table-3/queuing.smt2.json,7953.0,./PolyQEnt experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/queuing.smt2 experiments/configs-h2/mathsat/benchmarks/almost-sure-termination/cost-analysis-table-3/queuing.smt2.json,5256.0,./PolyQEnt experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/queuing.smt2 experiments/configs-h2/z3/benchmarks/almost-sure-termination/cost-analysis-table-3/queuing.smt2.json,15884.0,./PolyQEnt experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/queuing.smt2 experiments/configs-h12/mathsat/benchmarks/almost-sure-termination/cost-analysis-table-3/queuing.smt2.json,5859.0,,,,,,
random-walk.smt2,./PolyQEnt experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/random-walk.smt2 experiments/configs-base/mathsat/benchmarks/almost-sure-termination/cost-analysis-table-3/random-walk.smt2.json,1243.0,./PolyQEnt experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/random-walk.smt2 experiments/configs-base/z3/benchmarks/almost-sure-termination/cost-analysis-table-3/random-walk.smt2.json,1261.0,./PolyQEnt experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/random-walk.smt2 experiments/configs-h1/mathsat/benchmarks/almost-sure-termination/cost-analysis-table-3/random-walk.smt2.json,1274.0,./PolyQEnt experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/random-walk.smt2 experiments/configs-h1/z3/benchmarks/almost-sure-termination/cost-analysis-table-3/random-walk.smt2.json,1225.0,./PolyQEnt experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/random-walk.smt2 experiments/configs-h2/mathsat/benchmarks/almost-sure-termination/cost-analysis-table-3/random-walk.smt2.json,1598.0,./PolyQEnt experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/random-walk.smt2 experiments/configs-h2/z3/benchmarks/almost-sure-termination/cost-analysis-table-3/random-walk.smt2.json,1511.0,./PolyQEnt experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/random-walk.smt2 experiments/configs-h12/mathsat/benchmarks/almost-sure-termination/cost-analysis-table-3/random-walk.smt2.json,1572.0,./PolyQEnt experiments/benchmarks/almost-sure-termination/cost-analysis-table-3/random-walk.smt2 experiments/configs-h12/z3/benchmarks/almost-sure-termination/cost-analysis-table-3/random-walk.smt2.json,1963.0,,,,
